,Vtot,Vcap,V,dVtot,dVcap,dV,theta,M,Date,Close,Signal
916,20786453.983592704,20969.30847397558,20765484.643372692,-505067.6679538321,103.0057413867132,-505170.6736952188,114322864.30783866,19053810.71797311,2017-08-22,36.43000030517578,0
917,21587061.725401096,21042.92572260425,21566018.767932456,800607.741808391,73.61724862867149,800534.1245597623,115123096.32168111,19187182.720280185,2017-08-23,36.685001373291016,0
918,21144221.914845202,21156.76702791262,21123065.11607125,-442839.8105558955,113.8413053083717,-442953.6518612039,114683745.03979813,19113957.50663302,2017-08-24,36.54499816894531,0
919,21564235.74492236,21246.973363638514,21542988.73981268,420013.8300771567,90.20633572589135,419923.6237414308,115107402.2116964,19184567.035282735,2017-08-25,36.68000030517578,0
920,21543355.563155152,21356.63407386784,21521998.897335242,-20880.181767207876,109.66071022932564,-20989.842477437203,115091708.1017117,19181951.350285284,2017-08-28,36.67499923706055,0
921,21900171.362320717,21462.564879330985,21878708.765695345,356815.79916556703,105.93080546314258,356709.86836010386,115452600.80476956,19242100.13412826,2017-08-29,36.790000915527344,0
922,21847930.59289964,21585.281660842174,21826345.27949276,-52240.769421076424,122.71678151119147,-52363.486202587614,115405530.44591384,19234255.07431897,2017-08-30,36.775001525878906,0
923,22157789.555027805,21694.03840508865,22136095.484876677,309858.96212816524,108.75674424647403,309750.2053839188,115719340.81901757,19286556.803169597,2017-08-31,36.875,0
924,21049337.405237168,21834.753147957636,21027502.62034317,-1108452.149790638,140.71474286898615,-1108592.8645335068,114605298.43207139,19100883.0720119,2017-09-01,36.52000045776367,0
925,22876904.854792718,21910.600318952744,22854994.222727727,1827567.449555551,75.84717099510972,1827491.6023845559,116409738.00516388,19401623.000860646,2017-09-05,37.095001220703125,0
926,22015153.91972814,22077.19448312787,21993076.693498977,-861750.9350645759,166.594164175128,-861917.529228751,115546741.522481,19257790.253746834,2017-09-06,36.81999969482422,0
927,23358996.975080248,22193.888564782086,23336803.05476943,1343843.0553521074,116.69408165421468,1343726.361270453,116880453.56481948,19480075.59413658,2017-09-07,37.244998931884766,0
928,23118918.147006776,22374.24778951228,23096543.86747123,-240078.82807346995,180.3592247301934,-240259.18729820015,116645089.79944248,19440848.29990708,2017-09-08,37.16999816894531,0
929,21780006.662454784,22553.908261642136,21757452.722447105,-1338911.484551994,179.6604721298589,-1339091.1450241238,115295695.61821768,19215949.269702945,2017-09-11,36.7400016784668,0
930,22478904.127567697,22554.946458880586,22456349.14936278,698897.4651129142,1.0381972384487235,698896.4269156758,-130544716.33468263,21757452.722447105,2017-09-12,36.54499816894531,-1
931,22929922.57732371,22591.581812835353,22907330.963764835,451018.4497560105,36.635353954765485,450981.81440205575,-130098195.87061262,21683032.645102102,2017-09-13,36.41999816894531,0
